index,event_name,event_number,umask,mode,sample_period,type
0,BR_INST_RETIRED.ALL_BRANCHES,0xC4,0x00,sampling,20000,raw
1,BR_INST_RETIRED.COND_NTAKEN,0xC4,0x10,sampling,20000,raw
2,BR_INST_RETIRED.CONDITIONAL,0xC4,0x01,sampling,20000,raw
3,BR_INST_RETIRED.FAR_BRANCH,0xC4,0x40,sampling,10,raw
4,BR_INST_RETIRED.NEAR_CALL,0xC4,0x02,sampling,1000,raw
5,BR_INST_RETIRED.NEAR_RETURN,0xC4,0x08,sampling,1000,raw
6,BR_INST_RETIRED.NEAR_TAKEN,0xC4,0x20,sampling,20000,raw
7,BR_INST_RETIRED.NOT_TAKEN,0xC4,0x10,sampling,20000,raw
8,MEM_INST_RETIRED.ALL_LOADS,0xD0,0x81,sampling,1000,raw
9,MEM_INST_RETIRED.ALL_STORES,0xD0,0x82,sampling,1000,raw
10,MEM_INST_RETIRED.ANY,0xD0,0x83,sampling,10000,raw
11,INST_RETIRED.ANY_P,0xC0,0x00,sampling,100,raw
