index,event_name,event_number,umask,mode,sample_period,type
0,BR_MISP_RETIRED.ALL_BRANCHES,0xC5,0x00,sampling,10,raw
1,BR_MISP_RETIRED.CONDITIONAL,0xC5,0x01,sampling,10,raw
2,BR_MISP_RETIRED.NEAR_CALL,0xC5,0x02,sampling,10,raw
3,BR_MISP_RETIRED.NEAR_TAKEN,0xC5,0x20,sampling,10,raw
4,BR_INST_RETIRED.ALL_BRANCHES,0xC4,0x00,sampling,10,raw
5,BR_INST_RETIRED.COND_NTAKEN,0xC4,0x10,sampling,10,raw
6,BR_INST_RETIRED.CONDITIONAL,0xC4,0x01,sampling,10,raw
7,BR_INST_RETIRED.FAR_BRANCH,0xC4,0x40,sampling,10,raw
8,BR_INST_RETIRED.NEAR_CALL,0xC4,0x02,sampling,10,raw
9,BR_INST_RETIRED.NEAR_RETURN,0xC4,0x08,sampling,10,raw
10,BR_INST_RETIRED.NEAR_TAKEN,0xC4,0x20,sampling,10,raw
11,BR_INST_RETIRED.NOT_TAKEN,0xC4,0x10,sampling,10,raw
12,BR_MISP_EXEC.ALL_BRANCHES,0x89,0xFF,sampling,10,raw
13,BR_MISP_EXEC.INDIRECT,0x89,0xE4,sampling,10,raw
14,MEM_LOAD_RETIRED.FB_HIT,0xD1,0x40,sampling_freq,100,raw
15,MEM_LOAD_RETIRED.L1_MISS,0xD1,0x08,sampling_freq,100,raw
16,MEM_LOAD_RETIRED.L1_HIT,0xD1,0x01,sampling,10,raw
17,MEM_LOAD_RETIRED.L2_HIT,0xD1,0x02,sampling,10,raw
18,MEM_LOAD_RETIRED.L2_MISS,0xD1,0x10,sampling,10,raw
19,MEM_LOAD_RETIRED.L3_HIT,0xD1,0x04,sampling,10,raw
20,MEM_LOAD_RETIRED.L3_MISS,0xD1,0x20,sampling,10,raw
21,MEM_INST_RETIRED.ALL_LOADS,0xD0,0x81,sampling,10,raw
22,MEM_INST_RETIRED.ALL_STORES,0xD0,0x82,sampling,10,raw
23,MEM_INST_RETIRED.ANY,0xD0,0x83,sampling,10,raw
24,CPU_CLK_UNHALTED.THREAD,0x3C,0x00,counting,10,fixed
25,INST_RETIRED.ANY,0xC0,0x00,counting,10,fixed
